% ============================================================================ 
%  This file contains customized sorting keys for non decomposable characters 
%  Name     :  sort_kan_IN_strings.txt 
%  
%  Description : ELOCL.DLL for ELangkannada, ELOCL.xx 
%  Generated on : Mon Mar 26 18:41:17 2007 
%  Language : kannada 
%  Region : India 
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related 
%  computer programs, is protected by copyright controlled by 
%  Nokia Corporation. All rights are reserved. Copying, 
%  including reproducing, storing,  adapting or translating, any 
%  or all of this material requires the prior written consent of 
%  Nokia Corporation. This material also contains confidential 
%  information which may not be disclosed to others without the 
%  prior written consent of Nokia Corporation. 
%  ============================================================================  

% Modifiers  

% Vowels 


0CE3 0C82;[.0805.0020.0002.0CE3]
0CBC 0CE3 0C82;[.0805.0020.0008.0CE3]
0CE3 0C83;[.0806.0020.0002.0CE3]
0CBC 0CE3 0C83;[.0806.0020.0008.0CE3]
% RULE for base consonant 0CE3 in basekeys.txt 
0CBC 0CE3;[.0807.0020.0008.0CE3]


0CC6 0C82;[.0808.0020.0002.0CC6]
0CBC 0CC6 0C82;[.0808.0020.0008.0CC6]
0CC6 0C83;[.0809.0020.0002.0CC6]
0CBC 0CC6 0C83;[.0809.0020.0008.0CC6]
% RULE for base consonant 0CC6 in basekeys.txt 
0CBC 0CC6;[.080A.0020.0008.0CC6]


0CC7 0C82;[.080B.0020.0002.0CC7]
0CBC 0CC7 0C82;[.080B.0020.0008.0CC7]
0CC7 0C83;[.080C.0020.0002.0CC7]
0CBC 0CC7 0C83;[.080C.0020.0008.0CC7]
% RULE for base consonant 0CC7 in basekeys.txt 
0CBC 0CC7;[.080D.0020.0008.0CC7]


0CC8 0C82;[.080E.0020.0002.0CC8]
0CBC 0CC8 0C82;[.080E.0020.0008.0CC8]
0CC8 0C83;[.080F.0020.0002.0CC8]
0CBC 0CC8 0C83;[.080F.0020.0008.0CC8]
% RULE for base consonant 0CC8 in basekeys.txt 
0CBC 0CC8;[.0810.0020.0008.0CC8]


0CCA 0C82;[.0811.0020.0002.0CCA]
0CBC 0CCA 0C82;[.0811.0020.0008.0CCA]
0CCA 0C83;[.0812.0020.0002.0CCA]
0CBC 0CCA 0C83;[.0812.0020.0008.0CCA]
% RULE for base consonant 0CCA in basekeys.txt 
0CBC 0CCA;[.0813.0020.0008.0CCA]


0CCB 0C82;[.0814.0020.0002.0CCB]
0CBC 0CCB 0C82;[.0814.0020.0008.0CCB]
0CCB 0C83;[.0815.0020.0002.0CCB]
0CBC 0CCB 0C83;[.0815.0020.0008.0CCB]
% RULE for base consonant 0CCB in basekeys.txt 
0CBC 0CCB;[.0816.0020.0008.0CCB]


0CCC 0C82;[.0817.0020.0002.0CCC]
0CBC 0CCC 0C82;[.0817.0020.0008.0CCC]
0CCC 0C83;[.0818.0020.0002.0CCC]
0CBC 0CCC 0C83;[.0818.0020.0008.0CCC]
% RULE for base consonant 0CCC in basekeys.txt 
0CBC 0CCC;[.0819.0020.0008.0CCC]


0CD5 0C82;[.081A.0020.0002.0CD5]
0CBC 0CD5 0C82;[.081A.0020.0008.0CD5]
0CD5 0C83;[.081B.0020.0002.0CD5]
