% ============================================================================
%  This file contains customized sorting keys for non decomposable characters
%  Name     :  SORT_eng_in_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for Indic English ELOCL.186
%  Generated on : 30.5.2006 8:22:48
%  Language : Indic English
%  Region : India
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================


2785 ; [.01CB.0050.0006.2785] % DINGBAT CIRCLED SANS-SERIF DIGIT SIX : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT SIX
278F ; [.01CB.0050.0006.278F] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT SIX
0666 ; [.01CB.0050.0002.0666] % ARABIC-INDIC DIGIT SIX : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
06F6 ; [.01CB.0050.0002.06F6] % EXTENDED ARABIC-INDIC DIGIT SIX : Goes after :  ARABIC-INDIC DIGIT SIX
096C ; [.01CB.0040.0002.096C] % DEVANAGARI DIGIT SIX : Goes after :  EXTENDED ARABIC-INDIC DIGIT SIX
09EC ; [.01CB.0050.0002.09EC] % BENGALI DIGIT SIX : Goes after :  DEVANAGARI DIGIT SIX
0A6C ; [.01CB.0050.0002.0A6C] % GURMUKHI DIGIT SIX : Goes after :  BENGALI DIGIT SIX
0AEC ; [.01CB.0050.0002.0AEC] % GUJARATI DIGIT SIX : Goes after :  GURMUKHI DIGIT SIX
0B6C ; [.01CB.0050.0002.0B6C] % ORIYA DIGIT SIX : Goes after :  GUJARATI DIGIT SIX
0BEC ; [.01CB.0050.0002.0BEC] % TAMIL DIGIT SIX : Goes after :  ORIYA DIGIT SIX
0C6C ; [.01CB.0050.0002.0C6C] % TELUGU DIGIT SIX : Goes after :  TAMIL DIGIT SIX
0CEC ; [.01CB.0050.0002.0CEC] % KANNADA DIGIT SIX : Goes after :  TELUGU DIGIT SIX
0D6C ; [.01CB.0050.0002.0D6C] % MALAYALAM DIGIT SIX : Goes after :  KANNADA DIGIT SIX
0E56 ; [.01CB.0050.0002.0E56] % THAI DIGIT SIX : Goes after :  MALAYALAM DIGIT SIX
0ED6 ; [.01CB.0050.0002.0ED6] % LAO DIGIT SIX : Goes after :  THAI DIGIT SIX
0F26 ; [.01CB.0050.0002.0F26] % TIBETAN DIGIT SIX : Goes after :  LAO DIGIT SIX
3026 ; [.01CB.0050.0002.3026] % HANGZHOU NUMERAL SIX : Goes after :  TIBETAN DIGIT SIX
0037 ; [.01CC.0050.0002.0037] % DIGIT SEVEN : Goes after :  HANGZHOU NUMERAL SIX
FF17 ; [.01CC.0050.0003.FF17] % FULLWIDTH DIGIT SEVEN : Goes after :  DIGIT SEVEN
2466 ; [.01CC.0050.0006.2466] % CIRCLED DIGIT SEVEN : Goes after :  FULLWIDTH DIGIT SEVEN
2077 ; [.01CC.0050.0014.2077] % SUPERSCRIPT SEVEN : Goes after :  CIRCLED DIGIT SEVEN
2087 ; [.01CC.0050.0015.2087] % SUBSCRIPT SEVEN : Goes after :  SUPERSCRIPT SEVEN
277C ; [.01CC.0050.0006.277C] % DINGBAT NEGATIVE CIRCLED DIGIT SEVEN : Goes after :  SUBSCRIPT SEVEN
2786 ; [.01CC.0050.0006.2786] % DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
2790 ; [.01CC.0050.0006.2790] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
0667 ; [.01CC.0050.0002.0667] % ARABIC-INDIC DIGIT SEVEN : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
06F7 ; [.01CC.0050.0002.06F7] % EXTENDED ARABIC-INDIC DIGIT SEVEN : Goes after :  ARABIC-INDIC DIGIT SEVEN
096D ; [.01CC.0040.0002.096D] % DEVANAGARI DIGIT SEVEN : Goes after :  EXTENDED ARABIC-INDIC DIGIT SEVEN
09ED ; [.01CC.0050.0002.09ED] % BENGALI DIGIT SEVEN : Goes after :  DEVANAGARI DIGIT SEVEN
0A6D ; [.01CC.0050.0002.0A6D] % GURMUKHI DIGIT SEVEN : Goes after :  BENGALI DIGIT SEVEN
0AED ; [.01CC.0050.0002.0AED] % GUJARATI DIGIT SEVEN : Goes after :  GURMUKHI DIGIT SEVEN
0B6D ; [.01CC.0050.0002.0B6D] % ORIYA DIGIT SEVEN : Goes after :  GUJARATI DIGIT SEVEN
0BED ; [.01CC.0050.0002.0BED] % TAMIL DIGIT SEVEN : Goes after :  ORIYA DIGIT SEVEN
0C6D ; [.01CC.0050.0002.0C6D] % TELUGU DIGIT SEVEN : Goes after :  TAMIL DIGIT SEVEN
0CED ; [.01CC.0050.0002.0CED] % KANNADA DIGIT SEVEN : Goes after :  TELUGU DIGIT SEVEN
0D6D ; [.01CC.0050.0002.0D6D] % MALAYALAM DIGIT SEVEN : Goes after :  KANNADA DIGIT SEVEN
0E57 ; [.01CC.0050.0002.0E57] % THAI DIGIT SEVEN : Goes after :  MALAYALAM DIGIT SEVEN
0ED7 ; [.01CC.0050.0002.0ED7] % LAO DIGIT SEVEN : Goes after :  THAI DIGIT SEVEN
0F27 ; [.01CC.0050.0002.0F27] % TIBETAN DIGIT SEVEN : Goes after :  LAO DIGIT SEVEN
3027 ; [.01CC.0050.0002.3027] % HANGZHOU NUMERAL SEVEN : Goes after :  TIBETAN DIGIT SEVEN
0038 ; [.01CD.0050.0002.0038] % DIGIT EIGHT : Goes after :  HANGZHOU NUMERAL SEVEN
FF18 ; [.01CD.0050.0003.FF18] % FULLWIDTH DIGIT EIGHT : Goes after :  DIGIT EIGHT
2467 ; [.01CD.0050.0006.2467] % CIRCLED DIGIT EIGHT : Goes after :  FULLWIDTH DIGIT EIGHT
2078 ; [.01CD.0050.0014.2078] % SUPERSCRIPT EIGHT : Goes after :  CIRCLED DIGIT EIGHT
2088 ; [.01CD.0050.0015.2088] % SUBSCRIPT EIGHT : Goes after :  SUPERSCRIPT EIGHT
277D ; [.01CD.0050.0006.277D] % DINGBAT NEGATIVE CIRCLED DIGIT EIGHT : Goes after :  SUBSCRIPT EIGHT
2787 ; [.01CD.0050.0006.2787] % DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
2791 ; [.01CD.0050.0006.2791] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
