% ============================================================================
%  |||| This file is generated by UCAMaker ||||
%  It contains customized sorting keys for non decomposable characters
%  Name     :  col_hi_IN_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for ELangHindi, ELOCL.58
%  Generated on : 1.12.2005 13:52:09
%  Language : Hindi
%  Region : India
%
%  Copyright ©2005 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================



0965 ; [.0B9C.0020.0002.0965] % DEVANAGARI DOUBLE DANDA : Goes after :  DEVANAGARI DANDA
0061 ; [.16CF.0020.0002.0061] % LATIN SMALL LETTER A : Goes after :  DEVANAGARI DOUBLE DANDA
FF41 ; [.16CF.0020.0003.FF41] % FULLWIDTH LATIN SMALL LETTER A : Goes after :  LATIN SMALL LETTER A
24D0 ; [.16CF.0020.0006.24D0] % CIRCLED LATIN SMALL LETTER A : Goes after :  FULLWIDTH LATIN SMALL LETTER A
0041 ; [.16CF.0020.0008.0041] % LATIN CAPITAL LETTER A : Goes after :  CIRCLED LATIN SMALL LETTER A
FF21 ; [.16CF.0020.0009.FF21] % FULLWIDTH LATIN CAPITAL LETTER A : Goes after :  LATIN CAPITAL LETTER A
24B6 ; [.16CF.0020.000C.24B6] % CIRCLED LATIN CAPITAL LETTER A : Goes after :  FULLWIDTH LATIN CAPITAL LETTER A
00AA ; [.16CF.0020.0014.00AA] % FEMININE ORDINAL INDICATOR : Goes after :  CIRCLED LATIN CAPITAL LETTER A
00E6 ; [.16D3.0020.0002.00E6] % LATIN SMALL LETTER AE : Goes after :  FEMININE ORDINAL INDICATOR
00C6 ; [.16D3.0020.0008.00C6] % LATIN CAPITAL LETTER AE : Goes after :  LATIN SMALL LETTER AE
0250 ; [.16D7.0020.0002.0250] % LATIN SMALL LETTER TURNED A : Goes after :  LATIN CAPITAL LETTER AE
0251 ; [.16DB.0020.0002.0251] % LATIN SMALL LETTER ALPHA : Goes after :  LATIN SMALL LETTER TURNED A
0252 ; [.16DF.0020.0002.0252] % LATIN SMALL LETTER TURNED ALPHA : Goes after :  LATIN SMALL LETTER ALPHA
0062 ; [.16E3.0020.0002.0062] % LATIN SMALL LETTER B : Goes after :  LATIN SMALL LETTER TURNED ALPHA
FF42 ; [.16E3.0020.0003.FF42] % FULLWIDTH LATIN SMALL LETTER B : Goes after :  LATIN SMALL LETTER B
24D1 ; [.16E3.0020.0006.24D1] % CIRCLED LATIN SMALL LETTER B : Goes after :  FULLWIDTH LATIN SMALL LETTER B
0042 ; [.16E3.0020.0008.0042] % LATIN CAPITAL LETTER B : Goes after :  CIRCLED LATIN SMALL LETTER B
FF22 ; [.16E3.0020.0009.FF22] % FULLWIDTH LATIN CAPITAL LETTER B : Goes after :  LATIN CAPITAL LETTER B
212C ; [.16E3.0020.000B.212C] % SCRIPT CAPITAL B : Goes after :  FULLWIDTH LATIN CAPITAL LETTER B
24B7 ; [.16E3.0020.000C.24B7] % CIRCLED LATIN CAPITAL LETTER B : Goes after :  SCRIPT CAPITAL B
0299 ; [.16E7.0020.0002.0299] % LATIN LETTER SMALL CAPITAL B : Goes after :  CIRCLED LATIN CAPITAL LETTER B
0063 ; [.16F7.0020.0002.0063] % LATIN SMALL LETTER C : Goes after :  LATIN LETTER SMALL CAPITAL B
FF43 ; [.16F7.0020.0003.FF43] % FULLWIDTH LATIN SMALL LETTER C : Goes after :  LATIN SMALL LETTER C
217D ; [.16F7.0020.0004.217D] % SMALL ROMAN NUMERAL ONE HUNDRED : Goes after :  FULLWIDTH LATIN SMALL LETTER C
24D2 ; [.16F7.0020.0006.24D2] % CIRCLED LATIN SMALL LETTER C : Goes after :  SMALL ROMAN NUMERAL ONE HUNDRED
0043 ; [.16F7.0020.0008.0043] % LATIN CAPITAL LETTER C : Goes after :  CIRCLED LATIN SMALL LETTER C
FF23 ; [.16F7.0020.0009.FF23] % FULLWIDTH LATIN CAPITAL LETTER C : Goes after :  LATIN CAPITAL LETTER C
216D ; [.16F7.0020.000A.216D] % ROMAN NUMERAL ONE HUNDRED : Goes after :  FULLWIDTH LATIN CAPITAL LETTER C
2102 ; [.16F7.0020.000B.2102] % DOUBLE-STRUCK CAPITAL C : Goes after :  ROMAN NUMERAL ONE HUNDRED
212D ; [.16F7.0020.000B.212D] % BLACK-LETTER CAPITAL C : Goes after :  DOUBLE-STRUCK CAPITAL C
24B8 ; [.16F7.0020.000C.24B8] % CIRCLED LATIN CAPITAL LETTER C : Goes after :  BLACK-LETTER CAPITAL C
0064 ; [.1703.0020.0002.0064] % LATIN SMALL LETTER D : Goes after :  CIRCLED LATIN CAPITAL LETTER C
FF44 ; [.1703.0020.0003.FF44] % FULLWIDTH LATIN SMALL LETTER D : Goes after :  LATIN SMALL LETTER D
217E ; [.1703.0020.0004.217E] % SMALL ROMAN NUMERAL FIVE HUNDRED : Goes after :  FULLWIDTH LATIN SMALL LETTER D
24D3 ; [.1703.0020.0006.24D3] % CIRCLED LATIN SMALL LETTER D : Goes after :  SMALL ROMAN NUMERAL FIVE HUNDRED
0044 ; [.1703.0020.0008.0044] % LATIN CAPITAL LETTER D : Goes after :  CIRCLED LATIN SMALL LETTER D
FF24 ; [.1703.0020.0009.FF24] % FULLWIDTH LATIN CAPITAL LETTER D : Goes after :  LATIN CAPITAL LETTER D
216E ; [.1703.0020.000A.216E] % ROMAN NUMERAL FIVE HUNDRED : Goes after :  FULLWIDTH LATIN CAPITAL LETTER D
24B9 ; [.1703.0020.000C.24B9] % CIRCLED LATIN CAPITAL LETTER D : Goes after :  ROMAN NUMERAL FIVE HUNDRED
0189 ; [.170B.0020.0008.0189] % LATIN CAPITAL LETTER AFRICAN D : Goes after :  CIRCLED LATIN CAPITAL LETTER D
00F0 ; [.1717.0020.0002.00F0] % LATIN SMALL LETTER ETH : Goes after :  LATIN CAPITAL LETTER AFRICAN D
00D0 ; [.1717.0020.0008.00D0] % LATIN CAPITAL LETTER ETH : Goes after :  LATIN SMALL LETTER ETH
018D ; [.171B.0020.0002.018D] % LATIN SMALL LETTER TURNED DELTA : Goes after :  LATIN CAPITAL LETTER ETH
0065 ; [.171F.0020.0002.0065] % LATIN SMALL LETTER E : Goes after :  LATIN SMALL LETTER TURNED DELTA
FF45 ; [.171F.0020.0003.FF45] % FULLWIDTH LATIN SMALL LETTER E : Goes after :  LATIN SMALL LETTER E
212F ; [.171F.0020.0005.212F] % SCRIPT SMALL E : Goes after :  FULLWIDTH LATIN SMALL LETTER E
24D4 ; [.171F.0020.0006.24D4] % CIRCLED LATIN SMALL LETTER E : Goes after :  SCRIPT SMALL E
0045 ; [.171F.0020.0008.0045] % LATIN CAPITAL LETTER E : Goes after :  CIRCLED LATIN SMALL LETTER E
FF25 ; [.171F.0020.0009.FF25] % FULLWIDTH LATIN CAPITAL LETTER E : Goes after :  LATIN CAPITAL LETTER E
2130 ; [.171F.0020.000B.2130] % SCRIPT CAPITAL E : Goes after :  FULLWIDTH LATIN CAPITAL LETTER E
24BA ; [.171F.0020.000C.24BA] % CIRCLED LATIN CAPITAL LETTER E : Goes after :  SCRIPT CAPITAL E
01DD ; [.1723.0020.0002.01DD] % LATIN SMALL LETTER TURNED E : Goes after :  CIRCLED LATIN CAPITAL LETTER E
018E ; [.1723.0020.0008.018E] % LATIN CAPITAL LETTER REVERSED E : Goes after :  LATIN SMALL LETTER TURNED E
0259 ; [.1727.0020.0002.0259] % LATIN SMALL LETTER SCHWA : Goes after :  LATIN CAPITAL LETTER REVERSED E
018F ; [.1727.0020.0008.018F] % LATIN CAPITAL LETTER SCHWA : Goes after :  LATIN SMALL LETTER SCHWA
025B ; [.172B.0020.0002.025B] % LATIN SMALL LETTER OPEN E : Goes after :  LATIN CAPITAL LETTER SCHWA
0190 ; [.172B.0020.0008.0190] % LATIN CAPITAL LETTER OPEN E : Goes after :  LATIN SMALL LETTER OPEN E
2107 ; [.172B.0020.000A.2107] % EULER CONSTANT : Goes after :  LATIN CAPITAL LETTER OPEN E
0258 ; [.172F.0020.0002.0258] % LATIN SMALL LETTER REVERSED E : Goes after :  EULER CONSTANT
